437,GLLBaseLine,accept,190,191,582,47,52,38,1126,1526,0,162,150,333,47,52,26,0,0,410,61.877
5800,GLLBaseLine,accept,46,50,158,4,6,6,105,185,0,40,22,69,4,6,5,0,0,98,4.087
853,GLLBaseLine,accept,532,370,1084,118,156,29,629,838,0,483,301,804,118,156,9,0,0,334,39.461
2465,GLLBaseLine,accept,363,547,1068,232,235,31,4174,4687,0,347,519,899,232,235,20,0,0,918,502.332
732,GLLBaseLine,accept,227,299,871,55,65,36,1301,1955,0,177,196,398,55,65,23,0,0,606,113.729
307,GLLBaseLine,accept,82,77,216,22,23,15,573,713,0,65,53,120,22,23,7,0,0,168,19.957
183,GLLBaseLine,accept,69,59,150,16,21,10,205,231,0,64,48,118,16,21,6,0,0,54,4.543
347,GLLBaseLine,accept,250,244,1352,43,42,35,1765,2906,0,196,157,418,43,42,17,0,0,989,230.246
750,GLLBaseLine,accept,296,294,913,70,80,30,1570,2294,0,258,239,573,70,80,16,0,0,636,134.473
347,GLLBaseLine,accept,345,281,975,56,75,19,553,1303,0,306,171,505,56,75,11,0,0,752,96.928
963,GLLBaseLine,accept,497,397,945,211,159,5,2604,4049,0,487,373,864,211,159,2,0,0,2113,672.122
561,GLLBaseLine,accept,307,212,570,77,105,8,651,1001,0,300,189,495,77,105,5,0,0,524,52.586
508,GLLBaseLine,accept,272,189,512,66,94,7,539,832,0,260,163,425,66,94,3,0,0,427,38.814
90,GLLBaseLine,accept,35,31,84,8,9,4,134,147,0,31,22,60,8,9,1,0,0,37,2.156
455,GLLBaseLine,accept,343,327,1858,54,57,55,3198,5632,0,293,244,710,54,57,34,0,0,1841,682.107
3189,GLLBaseLine,accept,1823,1020,3275,427,378,57,458,763,0,1754,927,2805,427,378,28,0,0,360,34.532
507,GLLBaseLine,accept,233,270,686,49,52,36,1453,1770,0,219,243,566,49,52,29,0,0,367,69.046
428,GLLBaseLine,accept,143,129,305,37,46,16,133,150,0,135,117,267,37,46,11,0,0,41,2.511
459,GLLBaseLine,accept,119,125,303,41,47,14,379,461,0,103,102,210,41,47,6,0,0,112,12.562
377,GLLBaseLine,accept,100,125,263,45,52,17,349,414,0,93,110,208,45,52,11,0,0,93,10.949
338,GLLBaseLine,accept,72,67,178,21,22,11,476,579,0,60,49,111,21,22,4,0,0,136,14.402
568,GLLBaseLine,accept,175,228,578,42,42,19,1305,1809,0,149,146,354,42,42,10,0,0,524,88.037
798,GLLBaseLine,accept,281,292,1083,61,63,39,2596,4171,0,238,226,523,61,63,24,0,0,1313,435.723
3348,GLLBaseLine,accept,1806,1153,3528,469,409,44,1238,2372,0,1734,1019,2885,469,409,20,0,0,1212,223.775
2474,GLLBaseLine,accept,1280,813,2454,301,319,35,910,1696,0,1223,704,1997,301,319,16,0,0,901,118.840
370,GLLBaseLine,accept,211,173,645,45,37,31,2045,3013,0,177,124,322,45,37,18,0,0,890,221.592
197,GLLBaseLine,accept,91,92,236,21,29,7,342,398,0,84,78,191,21,29,2,0,0,88,9.396
250,GLLBaseLine,accept,98,86,266,21,23,18,582,749,0,84,62,154,21,23,9,0,0,186,23.804
239,GLLBaseLine,accept,100,103,396,20,23,20,550,767,0,75,64,156,20,23,9,0,0,210,23.727
781,GLLBaseLine,accept,349,326,1866,55,54,52,3510,6229,0,305,228,727,55,54,31,0,0,2051,722.155
130,GLLBaseLine,accept,57,58,140,12,20,10,174,194,0,52,47,108,12,20,6,0,0,45,3.532
760,GLLBaseLine,accept,388,255,782,86,99,14,395,696,0,356,198,565,86,99,6,0,0,378,29.760
1074,GLLBaseLine,accept,308,335,1148,92,99,44,3245,4966,0,228,240,486,92,99,28,0,0,1393,474.081
5444,GLLBaseLine,accept,4140,2715,7920,1195,830,65,3179,5441,0,4032,2486,6873,1195,830,23,0,0,2356,908.727
2047,GLLBaseLine,accept,1396,1084,4035,311,217,47,1204,3241,0,1345,866,2622,311,217,29,0,0,1766,362.192
728,GLLBaseLine,accept,219,361,861,60,63,26,2450,3594,0,182,210,459,60,63,15,0,0,1145,335.462
289,GLLBaseLine,accept,166,147,466,32,37,32,997,1326,0,133,104,246,32,37,21,0,0,329,50.439
527,GLLBaseLine,accept,263,244,1004,57,56,40,3126,4956,0,217,179,451,57,56,24,0,0,1457,512.227
1652,GLLBaseLine,accept,1247,853,3204,244,294,77,1374,2855,0,1038,580,1646,244,294,32,0,0,1539,349.467
1550,GLLBaseLine,accept,1327,775,4010,224,197,36,1692,4662,0,1052,474,1573,224,197,14,0,0,2613,750.091
79,GLLBaseLine,accept,48,50,128,7,11,9,118,130,0,44,41,104,7,11,6,0,0,32,1.737
223,GLLBaseLine,accept,80,85,252,20,21,15,382,488,0,67,63,150,20,21,6,0,0,114,13.437
1698,GLLBaseLine,accept,327,388,1113,123,133,67,1094,1626,0,289,333,654,123,133,53,0,0,499,83.540
403,GLLBaseLine,accept,151,127,473,33,32,20,690,911,0,123,84,224,33,32,8,0,0,233,33.866
352,GLLBaseLine,accept,146,142,538,31,35,27,1021,1454,0,97,81,181,31,35,14,0,0,425,57.939
310,GLLBaseLine,accept,279,291,954,48,58,12,931,2311,0,263,216,579,48,58,11,0,0,1278,201.281
239,GLLBaseLine,accept,222,243,847,35,39,12,763,1979,0,199,146,407,35,39,11,0,0,1073,138.105
146,GLLBaseLine,accept,100,82,244,18,24,6,147,252,0,95,56,162,18,24,5,0,0,130,6.577
116,GLLBaseLine,accept,55,38,106,12,17,3,56,75,0,53,30,85,12,17,2,0,0,37,1.336
428,GLLBaseLine,accept,195,192,985,35,34,32,1494,2387,0,132,108,271,35,34,16,0,0,836,150.158
287,GLLBaseLine,accept,128,124,446,27,31,25,910,1282,0,108,89,218,27,31,14,0,0,359,47.392
580,GLLBaseLine,accept,415,530,2137,60,71,21,1085,3134,0,389,358,1010,60,71,18,0,0,1818,368.196
46,GLLBaseLine,accept,19,13,32,7,7,0,14,14,0,19,13,32,7,7,0,0,0,6,0.438
105,GLLBaseLine,accept,57,48,131,13,16,6,168,218,0,50,31,83,13,16,3,0,0,107,5.966
460,GLLBaseLine,accept,165,153,428,42,53,28,755,978,0,146,122,275,42,53,19,0,0,239,32.321
2778,GLLBaseLine,accept,2618,1603,5828,508,520,116,2469,5297,0,2469,1281,4013,508,520,55,0,0,2764,1029.020
3488,GLLBaseLine,accept,2612,1673,5561,504,644,101,1984,3632,0,2509,1404,4156,504,644,52,0,0,1815,519.698
