tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyTableIndexedPool,accept,30,70.777,103.524,93.113,78.183,***,70.777,75.122,76.749,80.046,88.223,88.434,88.844,89.162,90.646,92.44,93.015,94.599,94.672,94.901,95.252,95.577,95.628,96.28,96.422,96.75,96.95,97.075,97.759,99.079,99.722,100.173,100.623,102.337,102.594,103.524
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyTableIndexedPool (C),accept,30,3.108,3.258,3.2,3.121,***,3.108,3.119,3.12,3.122,3.138,3.164,3.175,3.177,3.184,3.187,3.193,3.193,3.194,3.198,3.199,3.206,3.208,3.213,3.22,3.229,3.231,3.233,3.234,3.239,3.243,3.247,3.247,3.248,3.258,3.258
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyIndexedPool,accept,30,68.73,72.234,70.848,69.184,***,68.73,69.011,69.021,69.214,69.944,70.165,70.423,70.507,70.508,70.566,70.587,70.703,70.786,70.841,70.895,70.977,71.032,71.082,71.245,71.36,71.41,71.472,71.475,71.548,71.635,71.895,72.017,72.061,72.105,72.234
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyIndexedPool (C),accept,30,42.751,43.753,43.097,42.823,***,42.751,42.804,42.838,42.852,42.871,42.872,42.875,42.895,42.942,42.954,42.965,42.996,43.002,43.026,43.035,43.041,43.051,43.085,43.091,43.128,43.129,43.218,43.22,43.287,43.29,43.372,43.456,43.476,43.648,43.753
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyTableIndexedPool,accept,30,66.648,73.143,70.165,67.984,***,66.648,67.681,67.992,68.618,68.979,68.983,69.124,69.2,69.503,69.568,69.797,69.812,69.872,69.932,70.267,70.28,70.298,70.491,70.5,70.516,70.956,70.967,71.043,71.148,71.184,71.397,72.171,72.352,72.522,73.143
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyTableIndexedPool (C),accept,30,4.668,4.892,4.806,4.697,***,4.668,4.683,4.701,4.713,4.72,4.757,4.759,4.774,4.78,4.788,4.788,4.788,4.79,4.79,4.794,4.795,4.8,4.804,4.812,4.87,4.872,4.874,4.875,4.878,4.878,4.88,4.885,4.886,4.887,4.892
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyIndexedPool,accept,30,99.824,106.178,103.249,101.134,***,99.824,101.353,101.367,101.376,101.752,101.758,101.902,102.631,102.752,102.781,102.902,102.995,103.042,103.052,103.125,103.381,103.496,103.732,103.839,103.963,103.974,104.081,104.23,104.293,104.36,104.451,104.647,104.675,105.562,106.178
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyIndexedPool (C),accept,30,66.449,72.829,67.729,67.074,***,66.449,67.16,67.165,67.287,67.311,67.317,67.32,67.42,67.421,67.422,67.439,67.466,67.476,67.505,67.546,67.566,67.578,67.582,67.62,67.62,67.624,67.646,67.677,67.719,67.761,67.994,68.089,68.101,68.768,72.829
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyTableIndexedPool,accept,30,75.382,81.76,78.305,75.871,***,75.382,75.703,76.006,76.071,76.191,76.322,76.843,77.265,77.405,77.699,77.701,78.239,78.253,78.257,78.453,78.541,78.605,78.851,78.914,78.959,79.038,79.071,79.134,79.345,79.809,79.87,79.981,80.431,81.06,81.76
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyTableIndexedPool (C),accept,30,6.715,7.517,6.934,6.731,***,6.715,6.718,6.73,6.742,6.75,6.752,6.77,6.828,6.835,6.838,6.849,6.854,6.867,6.879,6.88,6.887,6.917,6.968,6.984,7.007,7.016,7.022,7.033,7.039,7.045,7.046,7.133,7.189,7.207,7.517
