tool,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TStdev,TMedian,Outlier threshold,Dropped,TMeanAfterDrop,TStdedAfterDrop,TMeanQ123,TStdedQ123,Results...
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java2.tok.reject,19085,ARTEarleyIndexedPool (C),reject,100,127.821,199.577,138.840,11.069,137.692,147.604,8,137.598, 3.636,135.259, 3.088,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java2.tok.reject,19085,ARTEarleyTableIndexedPool,reject,100,73.26,103.526,87.808, 5.359,87.554,99.684,5,88.107, 4.615,85.485, 3.185,***,
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java3.tok.reject,40311,ARTEarleyIndexedPool (C),reject,100,262.699,318.838,283.836, 7.579,282.090,292.908,12,285.026, 5.590,280.625, 3.750,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableDataReject/jls13EASMODAJ2024.gtb,rhul/earleyTableDataReject/java1.tok.reject,1429,BRNLGR (GTB with Pool),reject,100,4.615,5.146, 4.915, 0.094, 4.902, 5.172,1, 4.964, 0.107, 4.873, 0.063,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c3.tok.reject,36827,ARTEarleyTableIndexedPool (C),reject,100,47.513,54.353,48.366, 0.775,48.482,50.031,2,48.799, 0.698,48.125, 0.404,***,
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal2.tok.reject,4480,ARTEarleyTableIndexedPool,reject,100,31.551,50.828,37.029, 3.488,35.222,49.239,2,37.267, 3.252,35.535, 2.419,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c2.tok.reject,26551,ARTEarleyTableIndexedPool (C),reject,100,35.166,36.283,35.831, 0.324,35.976,36.921,1,36.192, 0.490,35.721, 0.301,***,
art.jar,earleyIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/lego_lex.tok.reject,3031,ARTEarleyIndexedPool (C),reject,100,8.927,9.657, 9.110, 0.151, 9.054, 9.367,10, 9.173, 0.138, 9.036, 0.048,***,
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal1.tok.reject,4425,ARTEarleyTableIndexedPool,reject,100,31.284,41.918,36.588, 3.217,35.379,49.035,1,36.958, 3.255,35.302, 2.651,***,
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c1.tok.reject,4291,ARTEarleyIndexedPool,reject,100,49.268,62.434,55.130, 2.573,55.596,61.902,2,55.618, 2.554,54.117, 2.040,***,
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java2.tok.reject,19085,ARTEarleyIndexedPool,reject,100,370.229,813.343,568.512,101.751,588.084,930.605,1,574.254,102.433,527.702,81.127,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.gtb,rhul/earleyTableDataReject/pascal1.tok.reject,4425,BRNLGR (GTB with Pool),reject,100,5.468,6.393, 6.020, 0.176, 6.011, 6.572,1, 6.081, 0.187, 5.946, 0.135,***,
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java1.tok.reject,1429,ARTEarleyIndexedPool (C),reject,100,8.433,9.756, 8.875, 0.212, 8.855, 9.199,9, 8.925, 0.167, 8.785, 0.108,***,
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal2.tok.reject,4480,ARTEarleyIndexedPool,reject,100,34.003,42.766,39.684, 1.505,40.072,43.702,1,40.085, 1.566,39.153, 1.343,***,
art.jar,earleyIndexedPoolV3.bat,COBOL,rhul/earleyTableDataReject/cob_rob.art,rhul/earleyTableDataReject/cobol1.tok.reject,2197,ARTEarleyIndexedPool,reject,100,25.862,30.825,28.343, 1.087,28.468,30.777,4,28.562, 1.060,27.889, 0.800,***,
art.jar,earleyIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_yacc.tok.reject,5011,ARTEarleyIndexedPool (C),reject,100,15.076,16.399,15.371, 0.225,15.307,15.671,11,15.484, 0.217,15.264, 0.070,***,
